Hex	Category	Name	Environment	Description
#000000	neutrals	Black	night,space	The complete absence of light, black symbolizes elegance, formality, and periods of mourning across cultures.
#000080	blues	Navy Blue	sea	A dark blue with purple undertones that has been the standard color for naval uniforms since the 18th century. This color represents authority, discipline, and maritime tradition, having been adopted by navies worldwide for its practical camouflage properties and professional appearance. Navy blue's association with reliability and institutional trust has made it a staple in corporate and military design.
#00009C	blues	Duke Blue	university	Duke University's signature color, used since the 1880s to represent the Blue Devils in athletics and academic branding.
#0000CD	blues	Medium Blue	sky,ocean	A classic, balanced blue that represents the ideal medium tone between light and dark blues. This color has been a staple in design and fashion for its versatility and reliability. Medium blue's association with trust, stability, and professionalism has made it popular in corporate branding and uniforms. The color's balanced, approachable quality makes it ideal for creating trustworthy, professional environments.
#0000FF	blues	Blue	ocean	The default HTML blue (#0000FF) represents the purest digital primary blue. As one of the earliest named web colors, it is used widely in hyperlinks and digital graphics to signify clarity and reliability.
#000F89	blues	Phthalo Blue		A powerful, highly saturated blue pigment first synthesized in 1928. Phthalo blue (copper phthalocyanine) quickly became a staple for artists due to its intense color strength, lightfastness, and versatility. Its discovery revolutionized modern painting, offering a non-toxic, affordable alternative to Prussian blue and cobalt blue. The pigment's vibrant hue is prized in both fine art and industrial applications, from automotive paints to printing inks.
#0014A8	blues	Zaffer (Zaffre)		A deep blue pigment made from roasted cobalt ore, used extensively in glassmaking and ceramics since the Middle Ages. The name comes from the Arabic 'safra,' meaning yellow, though the pigment produces a rich blue color. Zaffer was essential for creating the famous blue glass of Venice and was used in Chinese porcelain. This pigment's discovery and trade played a crucial role in the development of European glass and ceramic industries.
#0018A8	blues	Blue (Pantone)		A well-balanced Pantone shade favored in corporate logos for its clean, professional impression.
#002147	blues	Oxford Blue		A deep, prestigious blue named after the University of Oxford, one of the world's oldest and most respected academic institutions. This color represents intellectual excellence, tradition, and the pursuit of knowledge. Oxford blue's association with academic achievement and institutional heritage has made it popular in educational and professional branding.
#002366	blues	Royal Blue (Dark)		An intense royal blue used in 18th-century British uniforms, symbolizing nobility and ceremony.
#002387	blues	Resolution Blue		A vibrant dark blue reminiscent of a twilight horizon.
#003153	blues	Prussian Blue		A deep, dark blue pigment accidentally discovered in 1704 by German chemist Johann Jacob Diesbach while trying to create a red pigment. This iron ferrocyanide compound was the first modern synthetic pigment and revolutionized the art world by providing an affordable, stable blue alternative to expensive ultramarine. Prussian blue's discovery marked the beginning of modern synthetic pigment chemistry and was used extensively by artists like Van Gogh and Hokusai.
#0033AA	blues	UA Blue		The University of Arizona's official blue, used since the early 1900s in athletics and branding.
#00356B	blues	Yale Blue		A deep, prestigious blue associated with Yale University since the 19th century, representing academic excellence, tradition, and intellectual achievement. Yale Blue has become a symbol of higher education and scholarly pursuits, embodying the values of knowledge, wisdom, and institutional heritage. This color is often used in design to convey authority, tradition, and the distinguished character of established institutions.
#004040	blues	Rich Black		A printing term for a deep black achieved by mixing multiple inks for a velvety finish.
#0040FF	blues	Cerulean (RGB)		A vibrant medium blue reminiscent of a twilight horizon.
#00416A	blues	Indigo Dye		A historic dye from Indigofera plants, prized across Asia and Africa for its long-lasting deep blue textiles.
#004225	greens	British Racing Green	racetrack	A deep, rich green associated with British motorsport since the early 1900s. It became iconic after British cars adopted the color for international racing events, symbolizing tradition and speed.
#004242	blues	Warm Black	night	A deep, rich black with subtle warm undertones that creates a softer, more approachable alternative to pure black. Warm black evokes the comforting darkness of a moonlit night or the rich depths of fertile soil. This color is often used in design to convey sophistication while maintaining warmth and accessibility.
#0047AB	blues	Cobalt Blue	ocean	A vivid blue pigment made from cobalt(II) aluminate, discovered in 1802 by French chemist Louis Jacques Thénard. Cobalt blue offered artists a stable, lightfast alternative to ultramarine and was quickly adopted by painters like J.M.W. Turner and Vincent van Gogh. Its pure, cool hue is ideal for depicting skies and water, and it remains a cornerstone of both traditional and modern palettes.
#0048BA	blues	Absolute Zero		A deep, intense blue that represents the theoretical temperature of absolute zero (-273.15°C). This color embodies the coldest possible temperature in physics, where all molecular motion ceases. The pigment's depth and saturation mirror the profound stillness and infinite cold of this scientific concept.
#004953	blues	Midnight Green (Eagle Green)	sports,forest,night	A dark teal shade used by the Philadelphia Eagles, conjuring the shadowy greens of a midnight forest and conveying athletic determination.
#004B49	blues	Deep Jungle Green		A dark, bluish-green capturing the dense foliage of tropical jungles. Popularized by Crayola in the 1990s, it suggests exotic locales and adventurous spirit.
#004F98	blues	USAFA Blue		The official blue of the U.S. Air Force Academy, symbolizing service and the open skies.
#00573F	greens	Gotham Green	city,sports	The New York Jets' signature shade, named for NYC's Gotham nickname and representing team pride.
#006400	greens	Dark Green (X11)	forest	Part of the original X11 color set, providing a deeper alternative to the web's pure green.
#006600	greens	Pakistan Green		A deep, rich green that represents the national identity of Pakistan and its agricultural heritage. This color symbolizes prosperity, growth, and the natural beauty of the Pakistani landscape. Pakistan green's association with national pride and cultural heritage has made it significant in Pakistani design and cultural branding.
